# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Fri Sep 16 16:34:58 2016
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     78.240  (degree)
#   <Mass Ratio>       0.707  (dimensionless)
#   <Lagrange One>     0.536  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> Off
#   <Limb darkening>        quadratic
#   <Detailed reflection>   4
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  7.992e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>   114.821  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    17.103     24.190   (km/sec)
# 
#   <Mass>             0.586      0.414   (dimensionless)
#   <Gravity>         48.031     61.591   (dimensionless)
#   <Polar Radius>     0.144      0.127   (dimensionless)
#   <Point Radius>  0.144528   0.127747   (dimensionless)
#   <Mean Radius>   0.143798   0.126998   (dimensionless)
#   <Volume>        0.012519   0.008623   (dimensionless)
# 
#   <Mass>          2.33e+30   1.65e+30   (kilogramm)
#   <Gravity>          0.336      0.430   (m kg/s^2)
#   <Polar Radius>  2.14e+10   1.89e+10   (meter)
#   <Point Radius>  2.16e+10   1.91e+10   (meter)
#   <Mean Radius>   2.15e+10   1.89e+10   (meter)
#   <Volume>        4.16e+31   2.86e+31   (cubic meter)
# 
#   <Mass>             1.172      0.828   (solar mass)
#   <Polar Radius>    30.795     27.186   (solar radius)
#   <Point Radius>    30.983     27.385   (solar radius)
#   <Mean Radius>     30.826     27.225   (solar radius)
#   <Volume>        123333.848   84948.421   (solar volumes)
# 
#   <Mean Temp.>     11500.0     8220.6   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.373      0.387   (dimensionless)
#   <Temperature>    11500.0     8180.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      1.000   (dimensionless)
#   <Grav. Dark.>      0.250      0.250   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.6612   (dimensionless)
#   <Lagrange 1 Potential>             3.2556   (dimensionless)
#   <Lagrange 2 Potential>             2.8505   (dimensionless)
#   <Surface Potential Secondary>      9.2886   (dimensionless)
#   <... in Primary frame>             6.7135   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.13698e+15     1.98619e+14
#   Band   1:     8.22923e+14     1.77233e+14
#   Band   2:     5.09475e+14     1.38713e+14
#   Band   3:     3.72719e+14     1.12043e+14
#   Band   4:     1.95504e+14     6.89331e+13
#   Band   5:     4.58873e+13     1.95963e+13
#   Band   6:     1.86622e+13     8.51921e+12
#   Band   7:     6.14594e+12     2.97665e+12
#   Band   8:     1.15846e+15     2.06423e+14
#   Band   9:     8.97294e+14     1.82442e+14
#   Band  10:     7.05203e+14     1.66194e+14
#   Band  11:      5.0042e+14     1.37822e+14
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.33575e+15            0.75
#   Band   1:     1.00024e+15            0.75
#   Band   2:     6.48225e+14            0.75
#   Band   3:     4.84784e+14            0.75
#   Band   4:     2.64445e+14            0.75
#   Band   5:     6.54849e+13            0.75
#   Band   6:     2.71818e+13            0.75
#   Band   7:      9.1227e+12            0.75
#   Band   8:     1.36504e+15            0.75
#   Band   9:     1.07984e+15            0.75
#   Band  10:     8.71461e+14            0.75
#   Band  11:     6.38278e+14            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
    24 -0.2260 -0.000556 -0.000596 -0.000627 -0.000614 -0.000595 -0.000511 -0.000469 -0.000428 -0.000581 -0.000590 -0.000621 -0.000634       -16.9       23.87
    25 -0.2250 -0.000578 -0.000620 -0.000653 -0.000640 -0.000621 -0.000535 -0.000491 -0.000449 -0.000605 -0.000613 -0.000646 -0.000661      -16.89       23.84
    26 -0.2240 -0.000604 -0.000646 -0.000683 -0.000670 -0.000652 -0.000563 -0.000518 -0.000475 -0.000632 -0.000639 -0.000674 -0.000691      -16.87       23.82
    27 -0.2230 -0.000627 -0.000671 -0.000710 -0.000698 -0.000680 -0.000588 -0.000542 -0.000497 -0.000656 -0.000663 -0.000700 -0.000718      -16.85        23.8
    28 -0.2220 -0.000643 -0.000689 -0.000730 -0.000717 -0.000698 -0.000603 -0.000555 -0.000508 -0.000673 -0.000681 -0.000719 -0.000738      -16.83       23.77
    29 -0.2210 -0.000663 -0.000710 -0.000753 -0.000741 -0.000721 -0.000623 -0.000573 -0.000526 -0.000694 -0.000702 -0.000742 -0.000762      -16.82       23.74
    30 -0.2200 -0.000677 -0.000727 -0.000771 -0.000758 -0.000738 -0.000636 -0.000584 -0.000535 -0.000710 -0.000719 -0.000760 -0.000781       -16.8       23.71
    31 -0.2190 -0.000689 -0.000742 -0.000787 -0.000773 -0.000751 -0.000645 -0.000591 -0.000540 -0.000722 -0.000733 -0.000776 -0.000797      -16.77       23.68
    32 -0.2180 -0.000708 -0.000762 -0.000809 -0.000795 -0.000773 -0.000664 -0.000609 -0.000556 -0.000742 -0.000753 -0.000797 -0.000819      -16.75       23.65
    33 -0.2170 -0.000724 -0.000780 -0.000829 -0.000815 -0.000792 -0.000680 -0.000623 -0.000568 -0.000759 -0.000771 -0.000817 -0.000840      -16.73       23.62
    34 -0.2160 -0.000738 -0.000797 -0.000848 -0.000832 -0.000809 -0.000694 -0.000634 -0.000578 -0.000774 -0.000787 -0.000835 -0.000858      -16.71       23.59
    35 -0.2150 -0.000753 -0.000814 -0.000866 -0.000850 -0.000826 -0.000707 -0.000646 -0.000588 -0.000790 -0.000804 -0.000853 -0.000877      -16.69       23.56
    36 -0.2140 -0.000767 -0.000831 -0.000885 -0.000868 -0.000844 -0.000721 -0.000658 -0.000598 -0.000805 -0.000820 -0.000871 -0.000896      -16.66       23.52
    37 -0.2130 -0.000783 -0.000848 -0.000904 -0.000888 -0.000863 -0.000737 -0.000672 -0.000611 -0.000821 -0.000837 -0.000890 -0.000916      -16.64       23.49
    38 -0.2120 -0.000796 -0.000865 -0.000922 -0.000905 -0.000880 -0.000750 -0.000684 -0.000621 -0.000836 -0.000853 -0.000907 -0.000934      -16.61       23.45
    39 -0.2110 -0.000815 -0.000885 -0.000945 -0.000929 -0.000903 -0.000772 -0.000704 -0.000639 -0.000856 -0.000873 -0.000929 -0.000958      -16.59       23.42
    40 -0.2100 -0.000829 -0.000901 -0.000964 -0.000947 -0.000921 -0.000786 -0.000717 -0.000650 -0.000871 -0.000889 -0.000946 -0.000976      -16.56       23.38
    41 -0.2090 -0.000843 -0.000917 -0.000982 -0.000965 -0.000939 -0.000801 -0.000730 -0.000662 -0.000886 -0.000904 -0.000964 -0.000995      -16.53       23.34
    42 -0.2080 -0.000851 -0.000928 -0.000994 -0.000976 -0.000949 -0.000806 -0.000733 -0.000663 -0.000895 -0.000915 -0.000976 -0.001007      -16.51        23.3
    43 -0.2070 -0.000862 -0.000942 -0.001009 -0.000990 -0.000962 -0.000816 -0.000741 -0.000669 -0.000906 -0.000928 -0.000991 -0.001023      -16.48       23.26
    44 -0.2060 -0.000872 -0.000955 -0.001023 -0.001004 -0.000975 -0.000825 -0.000748 -0.000675 -0.000917 -0.000941 -0.001005 -0.001037      -16.45       23.22
    45 -0.2050 -0.000895 -0.000978 -0.001051 -0.001033 -0.001005 -0.000854 -0.000776 -0.000701 -0.000942 -0.000963 -0.001030 -0.001065      -16.42       23.18
    46 -0.2040 -0.000909 -0.000994 -0.001070 -0.001052 -0.001024 -0.000870 -0.000791 -0.000715 -0.000957 -0.000979 -0.001048 -0.001084      -16.39       23.14
